,Date,Num
0,12/25/2020,1
1,12/26/2020,1
2,12/27/2020,1
3,01/04/2021,1
4,01/08/2021,2
5,01/20/2021,1
6,01/12/2021,3
7,01/15/2021,1
8,01/10/2021,1
9,01/16/2021,2
10,01/17/2021,1
11,01/18/2021,1
12,01/21/2021,2
13,01/22/2021,2
14,01/23/2021,2
15,01/26/2021,3
16,01/30/2021,1
17,02/04/2021,1
18,02/14/2021,1
19,02/19/2021,1
20,02/21/2021,3
21,02/24/2021,2
